NOME FANTASIA;LOGRADOURO
MANJERICAO CASA DE PIZZA;RUA: FLAVIO BORTOLUZZI SOUZA, 314
PAES & CIA;RUA: NOVA, 100
LULI PADARIA & CONFEITARIA CASEIRA;AVENIDA: PAOLETTI, 93
DADO BIER;AVENIDA: TULIO DE ROSE, 80
FERREIRINHA;RUA: MARIA ELEONORA PEREIRA, 940
LANCHONETE E SORVETERIA SOL DE VERAO;RUA: VINTE, 807
CARNE ASSADA DO TOINHO;
COIMBRA;RUA: PEDRO ALVES, 1573
CENTRAL IV;PRACA: CEL ZECA LEITE, 236
BELLA ROMA PIZZARIA;RUA: DUQUE DE CAXIAS, 48
PADARIA SANS SOUCI;RUA: SARA BRAUNE, 110
PADARIA SANTANA;RUA: SANTANA, 48
CHURRASCARIA DO MAGRAO;AVENIDA: ANTERO BONIFACIO, 35
GUIDO LANCHES;RUA: AUGUSTO STELFELD, 1915
RESTAURANTE MALAGUETA;RUA: DAS GRAUNAS, 03
PACOL;AVENIDA: BERNARDO SAYAO, 676
FENIX LANCHE;PRACA: CRISTOVAO C DE FREITAS, SN
BIBOKA LANCHONETE;RUA: PRADO VALADARES, 64
LANCHONETE BARCELOS;AVENIDA: ANHANGUERA, 4993
